date,time,home_team,score,away_team
2025-08-08,21:30,Gaziantep FK,0–3,Galatasaray
2025-08-09,19:00,Samsunspor,2–1,Gençlerbirliği
2025-08-09,21:30,Antalyaspor,2–1,Kasımpaşa
2025-08-10,19:00,Rizespor,0–3,Göztepe
2025-08-10,21:30,Eyüpspor,1–4,Konyaspor
2025-08-11,21:30,Trabzonspor,1–0,Kocaelispor
,,,,
2025-08-15,21:30,Galatasaray,3–0,Fatih Karagümrük
2025-08-16,19:00,Kocaelispor,0–1,Samsunspor
2025-08-16,21:30,Göztepe,0–0,Fenerbahçe
2025-08-16,21:30,Alanyaspor,0–0,Rizespor
2025-08-17,19:00,Konyaspor,3–0,Gaziantep FK
2025-08-17,19:00,Gençlerbirliği,0–1,Antalyaspor
2025-08-17,21:30,Başakşehir,1–1,Kayserispor
2025-08-17,21:30,Beşiktaş,2–1,Eyüpspor
2025-08-18,21:30,Kasımpaşa,0–1,Trabzonspor
,,,,
2025-08-22,21:30,Fatih Karagümrük,0–2,Göztepe
2025-08-23,21:30,Fenerbahçe,3–1,Kocaelispor
2025-08-23,21:30,Gaziantep FK,2–1,Gençlerbirliği
2025-08-24,19:00,Trabzonspor,1–0,Antalyaspor
2025-08-24,21:30,Kayserispor,0–4,Galatasaray
2025-08-25,19:00,Eyüpspor,2–1,Alanyaspor
,,,,
2025-08-29,21:30,Göztepe,1–1,Konyaspor
2025-08-30,19:00,Kocaelispor,1–1,Kayserispor
2025-08-30,19:00,Kasımpaşa,2–3,Gaziantep FK
2025-08-30,21:30,Antalyaspor,1–2,Fatih Karagümrük
2025-08-30,21:30,Galatasaray,3–1,Rizespor
2025-08-31,19:00,Başakşehir,0–0,Eyüpspor
2025-08-31,19:00,Gençlerbirliği,1–3,Fenerbahçe
2025-08-31,21:30,Trabzonspor,1–1,Samsunspor
2025-08-31,21:30,Alanyaspor,2–0,Beşiktaş
,,,,
2025-09-13,17:00,Samsunspor,1–2,Antalyaspor
2025-09-13,17:00,Fatih Karagümrük,0–1,Kasımpaşa
2025-09-13,17:00,Eyüpspor,0–2,Galatasaray
2025-09-13,20:00,Konyaspor,1–2,Alanyaspor
2025-09-13,20:00,Beşiktaş,2–1,Başakşehir
2025-09-14,17:00,Kayserispor,1–1,Göztepe
2025-09-14,19:00,Gaziantep FK,2–0,Kocaelispor
2025-09-14,19:00,Fenerbahçe,1–0,Trabzonspor
2025-09-15,20:00,Rizespor,1–0,Gençlerbirliği
,,,,
2025-09-17,20:00,Fatih Karagümrük,0–2,Başakşehir
2025-09-17,20:00,Fenerbahçe,2–2,Alanyaspor
,,,,
2025-09-17,20:00,Samsunspor,0–0,Kasımpaşa
,,,,
2025-09-19,20:00,Göztepe,3–0,Beşiktaş
2025-09-20,17:00,Gençlerbirliği,1–0,Eyüpspor
2025-09-20,20:00,Trabzonspor,1–1,Gaziantep FK
2025-09-20,20:00,Antalyaspor,1–1,Kayserispor
2025-09-21,17:00,Kocaelispor,1–1,Rizespor
2025-09-21,17:00,Başakşehir,1–1,Alanyaspor
2025-09-21,20:00,Kasımpaşa,1–1,Fenerbahçe
2025-09-21,20:00,Samsunspor,3–2,Fatih Karagümrük
2025-09-22,20:00,Galatasaray,3–1,Konyaspor
,,,,
2025-09-24,20:00,Kayserispor,0–4,Beşiktaş
,,,,
2025-09-26,20:00,Alanyaspor,0–1,Galatasaray
2025-09-27,17:00,Gaziantep FK,2–2,Samsunspor
2025-09-27,17:00,Eyüpspor,0–0,Göztepe
2025-09-27,20:00,Fatih Karagümrük,3–4,Trabzonspor
2025-09-28,17:00,Rizespor,1–2,Kasımpaşa
2025-09-28,17:00,Konyaspor,2–1,Başakşehir
2025-09-28,20:00,Fenerbahçe,2–0,Antalyaspor
2025-09-28,20:00,Kayserispor,1–1,Gençlerbirliği
2025-09-29,20:00,Beşiktaş,3–1,Kocaelispor
,,,,
2025-10-03,20:00,Antalyaspor,2–5,Rizespor
2025-10-03,20:00,Trabzonspor,4–0,Kayserispor
2025-10-04,14:30,Gençlerbirliği,2–2,Alanyaspor
2025-10-04,17:00,Kocaelispor,1–0,Eyüpspor
2025-10-04,20:00,Galatasaray,1–1,Beşiktaş
2025-10-05,14:30,Kasımpaşa,1–1,Konyaspor
2025-10-05,17:00,Fatih Karagümrük,0–2,Gaziantep FK
2025-10-05,20:00,Samsunspor,0–0,Fenerbahçe
2025-10-05,20:00,Göztepe,1–0,Başakşehir
,,,,
2025-10-18,14:30,Konyaspor,2–3,Kocaelispor
2025-10-18,17:00,Beşiktaş,1–2,Gençlerbirliği
2025-10-18,17:00,Rizespor,1–2,Trabzonspor
2025-10-18,20:00,Başakşehir,1–2,Galatasaray
2025-10-19,14:30,Kayserispor,1–3,Samsunspor
2025-10-19,17:00,Alanyaspor,1–0,Göztepe
2025-10-19,17:00,Gaziantep FK,3–2,Antalyaspor
2025-10-19,20:00,Fenerbahçe,2–1,Fatih Karagümrük
2025-10-20,20:00,Eyüpspor,2–0,Kasımpaşa
,,,,
2025-10-22,20:00,Rizespor,0–0,Başakşehir
2025-10-22,20:00,Konyaspor,0–2,Beşiktaş
,,,,
2025-10-24,20:00,Fatih Karagümrük,2–2,Kayserispor
2025-10-25,17:00,Kocaelispor,2–0,Alanyaspor
2025-10-25,20:00,Trabzonspor,2–0,Eyüpspor
2025-10-26,14:30,Antalyaspor,0–4,Başakşehir
2025-10-26,17:00,Galatasaray,3–1,Göztepe
2025-10-26,17:00,Gençlerbirliği,1–2,Konyaspor
2025-10-26,20:00,Kasımpaşa,1–1,Beşiktaş
2025-10-27,20:00,Gaziantep FK,0–4,Fenerbahçe
2025-10-27,20:00,Samsunspor,1–1,Rizespor
,,,,
2025-10-31,20:00,Başakşehir,1–0,Kocaelispor
2025-11-01,17:00,Göztepe,1–0,Gençlerbirliği
2025-11-01,20:00,Galatasaray,0–0,Trabzonspor
2025-11-02,14:30,Konyaspor,1–3,Samsunspor
2025-11-02,17:00,Kayserispor,3–2,Kasımpaşa
2025-11-02,20:00,Beşiktaş,2–3,Fenerbahçe
2025-11-03,20:00,Eyüpspor,0–1,Antalyaspor
2025-11-03,20:00,Rizespor,1–0,Fatih Karagümrük
2025-11-03,20:00,Alanyaspor,0–0,Gaziantep FK
,,,,
2025-11-07,20:00,Gençlerbirliği,2–1,Başakşehir
2025-11-08,14:30,Gaziantep FK,2–2,Rizespor
2025-11-08,17:00,Trabzonspor,1–1,Alanyaspor
2025-11-08,20:00,Kasımpaşa,0–2,Göztepe
2025-11-08,20:00,Antalyaspor,1–3,Beşiktaş
2025-11-09,14:30,Fatih Karagümrük,2–0,Konyaspor
2025-11-09,17:00,Kocaelispor,1–0,Galatasaray
2025-11-09,20:00,Samsunspor,1–0,Eyüpspor
2025-11-09,20:00,Fenerbahçe,4–2,Kayserispor
,,,,
2025-11-22,14:30,Kayserispor,0–3,Gaziantep FK
2025-11-22,17:00,Eyüpspor,1–1,Fatih Karagümrük
2025-11-22,20:00,Galatasaray,3–2,Gençlerbirliği
2025-11-23,14:30,Göztepe,0–0,Kocaelispor
2025-11-23,17:00,Beşiktaş,1–1,Samsunspor
2025-11-23,17:00,Alanyaspor,1–2,Kasımpaşa
2025-11-23,20:00,Rizespor,2–5,Fenerbahçe
2025-11-24,20:00,Konyaspor,0–0,Antalyaspor
2025-11-24,20:00,Başakşehir,3–4,Trabzonspor
,,,,
2025-11-28,20:00,Kocaelispor,1–0,Gençlerbirliği
2025-11-29,14:30,Rizespor,,Kayserispor
2025-11-29,17:00,Gaziantep FK,,Eyüpspor
2025-11-29,20:00,Trabzonspor,,Konyaspor
2025-11-29,20:00,Kasımpaşa,,Başakşehir
2025-11-30,17:00,Antalyaspor,,Göztepe
2025-11-30,20:00,Fatih Karagümrük,,Beşiktaş
2025-12-01,20:00,Fenerbahçe,,Galatasaray
2025-12-01,20:00,Samsunspor,,Alanyaspor
,,,,
2025-12-05,20:00,Galatasaray,,Samsunspor
2025-12-06,14:30,Eyüpspor,,Kayserispor
2025-12-06,17:00,Konyaspor,,Rizespor
2025-12-06,20:00,Başakşehir,,Fenerbahçe
2025-12-07,14:30,Gençlerbirliği,,Fatih Karagümrük
2025-12-07,17:00,Kocaelispor,,Kasımpaşa
2025-12-07,20:00,Göztepe,,Trabzonspor
2025-12-08,20:00,Beşiktaş,,Gaziantep FK
2025-12-08,20:00,Alanyaspor,,Antalyaspor
,,,,
2025-12-12,20:00,Kasımpaşa,,Gençlerbirliği
2025-12-13,14:30,Rizespor,,Eyüpspor
2025-12-13,17:00,Kayserispor,,Alanyaspor
2025-12-13,20:00,Antalyaspor,,Galatasaray
2025-12-14,14:30,Gaziantep FK,,Göztepe
2025-12-14,17:00,Fatih Karagümrük,,Kocaelispor
2025-12-14,20:00,Trabzonspor,,Beşiktaş
2025-12-14,20:00,Samsunspor,,Başakşehir
2025-12-15,20:00,Fenerbahçe,,Konyaspor
,,,,
2025-12-21,,Alanyaspor,,Fatih Karagümrük
2025-12-21,,Konyaspor,,Kayserispor
2025-12-21,,Eyüpspor,,Fenerbahçe
2025-12-21,,Beşiktaş,,Rizespor
2025-12-21,,Kocaelispor,,Antalyaspor
2025-12-21,,Gençlerbirliği,,Trabzonspor
2025-12-21,,Göztepe,,Samsunspor
2025-12-21,,Galatasaray,,Kasımpaşa
2025-12-21,,Başakşehir,,Gaziantep FK
,,,,
2026-01-18,,Gençlerbirliği,,Samsunspor
2026-01-18,,Alanyaspor,,Fenerbahçe
2026-01-18,,Göztepe,,Rizespor
2026-01-18,,Konyaspor,,Eyüpspor
2026-01-18,,Galatasaray,,Gaziantep FK
2026-01-18,,Başakşehir,,Fatih Karagümrük
2026-01-18,,Kocaelispor,,Trabzonspor
2026-01-18,,Beşiktaş,,Kayserispor
2026-01-18,,Kasımpaşa,,Antalyaspor
,,,,
2026-01-25,,Rizespor,,Alanyaspor
2026-01-25,,Trabzonspor,,Kasımpaşa
2026-01-25,,Eyüpspor,,Beşiktaş
2026-01-25,,Samsunspor,,Kocaelispor
2026-01-25,,Kayserispor,,Başakşehir
2026-01-25,,Gaziantep FK,,Konyaspor
2026-01-25,,Antalyaspor,,Gençlerbirliği
2026-01-25,,Fenerbahçe,,Göztepe
2026-01-25,,Fatih Karagümrük,,Galatasaray
,,,,
2026-02-01,,Alanyaspor,,Eyüpspor
2026-02-01,,Kasımpaşa,,Samsunspor
2026-02-01,,Beşiktaş,,Konyaspor
2026-02-01,,Kocaelispor,,Fenerbahçe
2026-02-01,,Antalyaspor,,Trabzonspor
2026-02-01,,Başakşehir,,Rizespor
2026-02-01,,Göztepe,,Fatih Karagümrük
2026-02-01,,Galatasaray,,Kayserispor
2026-02-01,,Gençlerbirliği,,Gaziantep FK
,,,,
2026-02-08,,Kayserispor,,Kocaelispor
2026-02-08,,Rizespor,,Galatasaray
2026-02-08,,Fatih Karagümrük,,Antalyaspor
2026-02-08,,Fenerbahçe,,Gençlerbirliği
2026-02-08,,Beşiktaş,,Alanyaspor
2026-02-08,,Konyaspor,,Göztepe
2026-02-08,,Eyüpspor,,Başakşehir
2026-02-08,,Gaziantep FK,,Kasımpaşa
2026-02-08,,Samsunspor,,Trabzonspor
,,,,
2026-02-15,,Alanyaspor,,Konyaspor
2026-02-15,,Galatasaray,,Eyüpspor
2026-02-15,,Trabzonspor,,Fenerbahçe
2026-02-15,,Antalyaspor,,Samsunspor
2026-02-15,,Gençlerbirliği,,Rizespor
2026-02-15,,Başakşehir,,Beşiktaş
2026-02-15,,Kocaelispor,,Gaziantep FK
2026-02-15,,Göztepe,,Kayserispor
2026-02-15,,Kasımpaşa,,Fatih Karagümrük
,,,,
2026-02-22,,Konyaspor,,Galatasaray
2026-02-22,,Gaziantep FK,,Trabzonspor
2026-02-22,,Fatih Karagümrük,,Samsunspor
2026-02-22,,Beşiktaş,,Göztepe
2026-02-22,,Eyüpspor,,Gençlerbirliği
2026-02-22,,Rizespor,,Kocaelispor
2026-02-22,,Alanyaspor,,Başakşehir
2026-02-22,,Fenerbahçe,,Kasımpaşa
2026-02-22,,Kayserispor,,Antalyaspor
,,,,
2026-03-01,,Başakşehir,,Konyaspor
2026-03-01,,Galatasaray,,Alanyaspor
2026-03-01,,Trabzonspor,,Fatih Karagümrük
2026-03-01,,Samsunspor,,Gaziantep FK
2026-03-01,,Göztepe,,Eyüpspor
2026-03-01,,Gençlerbirliği,,Kayserispor
2026-03-01,,Antalyaspor,,Fenerbahçe
2026-03-01,,Kocaelispor,,Beşiktaş
2026-03-01,,Kasımpaşa,,Rizespor
,,,,
2026-03-08,,Alanyaspor,,Gençlerbirliği
2026-03-08,,Fenerbahçe,,Samsunspor
2026-03-08,,Konyaspor,,Kasımpaşa
2026-03-08,,Rizespor,,Antalyaspor
2026-03-08,,Eyüpspor,,Kocaelispor
2026-03-08,,Başakşehir,,Göztepe
2026-03-08,,Beşiktaş,,Galatasaray
2026-03-08,,Kayserispor,,Trabzonspor
2026-03-08,,Gaziantep FK,,Fatih Karagümrük
,,,,
2026-03-15,,Samsunspor,,Kayserispor
2026-03-15,,Fatih Karagümrük,,Fenerbahçe
2026-03-15,,Göztepe,,Alanyaspor
2026-03-15,,Kocaelispor,,Konyaspor
2026-03-15,,Antalyaspor,,Gaziantep FK
2026-03-15,,Galatasaray,,Başakşehir
2026-03-15,,Kasımpaşa,,Eyüpspor
2026-03-15,,Gençlerbirliği,,Beşiktaş
2026-03-15,,Trabzonspor,,Rizespor
,,,,
2026-03-22,,Beşiktaş,,Kasımpaşa
2026-03-22,,Göztepe,,Galatasaray
2026-03-22,,Fenerbahçe,,Gaziantep FK
2026-03-22,,Başakşehir,,Antalyaspor
2026-03-22,,Konyaspor,,Gençlerbirliği
2026-03-22,,Eyüpspor,,Trabzonspor
2026-03-22,,Kayserispor,,Fatih Karagümrük
2026-03-22,,Alanyaspor,,Kocaelispor
2026-03-22,,Rizespor,,Samsunspor
,,,,
2026-04-05,,Fatih Karagümrük,,Rizespor
2026-04-05,,Fenerbahçe,,Beşiktaş
2026-04-05,,Gençlerbirliği,,Göztepe
2026-04-05,,Kocaelispor,,Başakşehir
2026-04-05,,Samsunspor,,Konyaspor
2026-04-05,,Gaziantep FK,,Alanyaspor
2026-04-05,,Kasımpaşa,,Kayserispor
2026-04-05,,Antalyaspor,,Eyüpspor
2026-04-05,,Trabzonspor,,Galatasaray
,,,,
2026-04-12,,Göztepe,,Kasımpaşa
2026-04-12,,Konyaspor,,Fatih Karagümrük
2026-04-12,,Kayserispor,,Fenerbahçe
2026-04-12,,Rizespor,,Gaziantep FK
2026-04-12,,Alanyaspor,,Trabzonspor
2026-04-12,,Eyüpspor,,Samsunspor
2026-04-12,,Galatasaray,,Kocaelispor
2026-04-12,,Başakşehir,,Gençlerbirliği
2026-04-12,,Beşiktaş,,Antalyaspor
,,,,
2026-04-19,,Trabzonspor,,Başakşehir
2026-04-19,,Gaziantep FK,,Kayserispor
2026-04-19,,Kasımpaşa,,Alanyaspor
2026-04-19,,Kocaelispor,,Göztepe
2026-04-19,,Fenerbahçe,,Rizespor
2026-04-19,,Gençlerbirliği,,Galatasaray
2026-04-19,,Fatih Karagümrük,,Eyüpspor
2026-04-19,,Antalyaspor,,Konyaspor
2026-04-19,,Samsunspor,,Beşiktaş
,,,,
2026-04-26,,Alanyaspor,,Samsunspor
2026-04-26,,Galatasaray,,Fenerbahçe
2026-04-26,,Başakşehir,,Kasımpaşa
2026-04-26,,Kayserispor,,Rizespor
2026-04-26,,Eyüpspor,,Gaziantep FK
2026-04-26,,Gençlerbirliği,,Kocaelispor
2026-04-26,,Konyaspor,,Trabzonspor
2026-04-26,,Beşiktaş,,Fatih Karagümrük
2026-04-26,,Göztepe,,Antalyaspor
,,,,
2026-05-03,,Fenerbahçe,,Başakşehir
2026-05-03,,Rizespor,,Konyaspor
2026-05-03,,Antalyaspor,,Alanyaspor
2026-05-03,,Fatih Karagümrük,,Gençlerbirliği
2026-05-03,,Kasımpaşa,,Kocaelispor
2026-05-03,,Gaziantep FK,,Beşiktaş
2026-05-03,,Kayserispor,,Eyüpspor
2026-05-03,,Trabzonspor,,Göztepe
2026-05-03,,Samsunspor,,Galatasaray
,,,,
2026-05-10,,Eyüpspor,,Rizespor
2026-05-10,,Gençlerbirliği,,Kasımpaşa
2026-05-10,,Konyaspor,,Fenerbahçe
2026-05-10,,Başakşehir,,Samsunspor
2026-05-10,,Göztepe,,Gaziantep FK
2026-05-10,,Kocaelispor,,Fatih Karagümrük
2026-05-10,,Beşiktaş,,Trabzonspor
2026-05-10,,Galatasaray,,Antalyaspor
2026-05-10,,Alanyaspor,,Kayserispor
,,,,
2026-05-17,,Antalyaspor,,Kocaelispor
2026-05-17,,Trabzonspor,,Gençlerbirliği
2026-05-17,,Gaziantep FK,,Başakşehir
2026-05-17,,Kasımpaşa,,Galatasaray
2026-05-17,,Samsunspor,,Göztepe
2026-05-17,,Kayserispor,,Konyaspor
2026-05-17,,Fatih Karagümrük,,Alanyaspor
2026-05-17,,Fenerbahçe,,Eyüpspor
2026-05-17,,Rizespor,,Beşiktaş
